1,2021-02-16,PamonhaLTDA,"Rua das Flores ",,Botafogo,"Rio de Janeiro",RJ,22230-060,Nada,,,"<br /><b>Warning</b>:  Undefined variable $celualr in <b>C:\xampp\htdocs\minehorta\formulario.php</b> on line <b>15</b><br />",lili@hotmail.com
126,2021-02-09,PamonhaLTDA,"Rua Marechal",,Botafogo,"Rio de Janeiro",RJ,22230-060,Obrigado,,"(21) 96783564","<br /><b>Warning</b>:  Undefined variable $celualr in <b>C:\xampp\htdocs\minehorta\formulario.php</b> on line <b>15</b><br />",
3,2021-02-11,M&Pltda,"Rua Marechal",,Flamengo,"Rio de Janeiro",RJ,22230-060,,,,,soueu@gmal.com
4,2021-02-09,"Paleta Mexicana","Rua Amaro da Silveira",,Laranjeiras,"Rio de Janeiro","Rio de Janeiro",53441-490,25.535.671/0001-88,,22546687,,
5,2021-02-04,JBL,"Rua Silva Antunes",32,,"Rio de Janeiro","Rio de Janeiro",53441-490,25535671000188,,22546687,,
6,2021-02-24,TNM,"Rua Guimara",54,Flamengo,"Rio de Janeiro","Rio de Janeiro",,79.950.217/0001-12,,,,tnm@hotmail.com
6,2021-02-24,TNM,"Rua Guimara",54,Flamengo,"Rio de Janeiro","Rio de Janeiro",,79.950.217/0001-1,,,,tnm@hotmail.com
8,2021-02-02,"Paleta Mexicana","Rua Amaro da Silveira",102,,"Rio de Janeiro","Rio de Janeiro",53441-490,,,22546687,,
8,2021-02-24,Lamia,"Rua Favo de Mel",33,,"Rio de Janeiro","Rio de Janeiro",53441-490,63.584.236/0001-3,,22546687,,
8,2021-02-24,Lamia,"Rua Favo de Mel",33,,"Rio de Janeiro","Rio de Janeiro",53441-490,63.584.236/0001-32,,22546687,,
7,2021-02-06,ocla,"Rua Silva Antunes",32,,"Rio de Janeiro","Rio de Janeiro",53441-490,63.584.236/0001-32,,22546687,,
